identifier,fingerprint,outcome,organic___0___chemname,organic___0___molarity,inorganic___0___chemname,inorganic___0___molarity,solvent___0___chemname,solvent___0___molarity,acid___0___chemname,acid___0___molarity,solvent___1___chemname,solvent___1___molarity
2021-02-08T21_20_17.803967+00_00_HC_G3,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.28381226318339203,Lead Diiodide,0.1881180944508907,Gamma-Butyrolactone,9.566775238148033,Formic Acid,5.300890723441234,,
2021-02-08T21_20_17.803967+00_00_HC_A5,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.32229339530312134,Lead Diiodide,0.2483158846751754,Gamma-Butyrolactone,5.602817241175472,Formic Acid,13.075530451155045,,
2021-02-08T21_20_17.803967+00_00_HC_C5,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.7302379199334934,Lead Diiodide,0.06772251400232067,Gamma-Butyrolactone,8.38914141679057,Formic Acid,5.830979795785358,,
2021-02-08T21_20_17.803967+00_00_HC_E5,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.5495982834002953,Lead Diiodide,0.323563122455532,Gamma-Butyrolactone,8.038322016422262,Formic Acid,6.8911579404736045,,
2021-02-08T21_20_17.803967+00_00_HC_G5,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.3931060310566854,Lead Diiodide,0.5417801120185654,Gamma-Butyrolactone,8.3860936674824,Formic Acid,1.7669635744804115,,
2021-02-08T21_20_17.803967+00_00_HC_A7,1%1%1%1,3,4-methoxy-phenethylammonium-iodide,0.6677254034966974,Lead Diiodide,0.3837609126798167,Gamma-Butyrolactone,11.001708973955743,Formic Acid,0.1766963574480407,,
2021-02-08T21_20_17.803967+00_00_HC_C7,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.8438937976079128,Lead Diiodide,0.424212615674492,Gamma-Butyrolactone,10.204191597739683,Formic Acid,0.8894111952082604,,
2021-02-08T21_20_17.803967+00_00_HC_E7,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.4176475704746734,Lead Diiodide,0.015049447556070667,Gamma-Butyrolactone,8.061478266098751,Formic Acid,3.3572307915127815,,
2021-02-08T21_20_17.803967+00_00_HC_G7,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.7822706189718968,Lead Diiodide,0.158019199338748,Gamma-Butyrolactone,8.701017291196527,Formic Acid,4.77080165109711,,
2021-02-08T21_20_17.803967+00_00_HC_A9,1%1%1%1,3,4-methoxy-phenethylammonium-iodide,0.7079974879270281,Lead Diiodide,0.5869284546867788,Gamma-Butyrolactone,9.929983118595436,Formic Acid,1.7669635744804115,,
2021-02-08T21_20_17.803967+00_00_HC_C9,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.4239131988330889,Lead Diiodide,0.1805933706728547,Gamma-Butyrolactone,8.492894363922245,Formic Acid,2.1203562893764936,,
2021-02-08T21_20_17.803967+00_00_HC_E9,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.7615606522681946,Lead Diiodide,0.22574171334106866,Gamma-Butyrolactone,6.428074636269176,Formic Acid,9.364906944746178,,
2021-02-08T21_20_17.803967+00_00_HC_G9,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.2003177541323475,Lead Diiodide,0.35366201756767474,Gamma-Butyrolactone,9.709916336951647,Formic Acid,0.35339271489608204,,
2021-02-08T21_20_17.803967+00_00_HC_A11,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.2568251292185653,Lead Diiodide,0.46653287423820855,Gamma-Butyrolactone,7.387514286591568,Formic Acid,4.5941052936490685,,
2021-02-08T21_20_17.803967+00_00_HC_C11,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.5628947727685087,Lead Diiodide,0.4289092553480307,Gamma-Butyrolactone,4.869353991731566,Formic Acid,13.075530451155045,,
2021-02-08T21_20_17.803967+00_00_HC_E11,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.8874505411177159,Lead Diiodide,0.2765709732986603,Gamma-Butyrolactone,7.495762914989005,Formic Acid,6.49446876712999,,
2021-02-08T21_20_17.803967+00_00_HC_G11,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.3602474239618434,Lead Diiodide,0.16554392311678331,Gamma-Butyrolactone,8.394909665813055,Formic Acid,2.6504453617206165,,
2021-03-12T18_02_56.329616+00_00_HC_A1,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.3882794389303095,Lead Diiodide,0.746956176077451,Dimethylformamide,9.803303185829783,Formic Acid,0.26504453617206153,,
2021-03-12T18_02_56.329616+00_00_HC_C1,1%1%1%1,1,2-Thiophenemethylammonium iodide,2.4297804000888323,Lead Diiodide,0.0373478088038725,Dimethylformamide,7.760928703563881,Formic Acid,2.385400825548555,,
2021-03-12T18_02_56.329616+00_00_HC_E1,1%1%1%1,1,2-Thiophenemethylammonium iodide,0.9332972956794335,Lead Diiodide,0.28010856602904405,Dimethylformamide,7.8311067540598405,Formic Acid,6.758635672387574,,
2021-03-12T18_02_56.329616+00_00_HC_G1,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.8106002623413138,Lead Diiodide,0.5574299821473513,Dimethylformamide,7.243842950767883,Formic Acid,4.483340412860744,,
2021-03-12T18_02_56.329616+00_00_HC_A3,1%1%1%1,1,2-Thiophenemethylammonium iodide,0.262185437963645,Lead Diiodide,0.4575106578474385,Dimethylformamide,11.980365866976264,Formic Acid,0.13252226808603051,,
2021-03-12T18_02_56.329616+00_00_HC_C3,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.4619379226507467,Lead Diiodide,0.02815161467628543,Dimethylformamide,7.2625785775057095,Formic Acid,6.659410456584466,,
2021-03-12T18_02_56.329616+00_00_HC_E3,1%1%1%1,3,2-Thiophenemethylammonium iodide,0.6059790390362966,Lead Diiodide,1.0083908377045585,Dimethylformamide,7.272557441253405,Formic Acid,7.553769280903758,,
2021-03-12T18_02_56.329616+00_00_HC_G3,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.3917621796030974,Lead Diiodide,1.363195021341348,Dimethylformamide,8.75008062637426,Formic Acid,1.1927004127742777,,
2021-03-12T18_02_56.329616+00_00_HC_A5,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.5280980419630306,Lead Diiodide,0.40878198690805767,Dimethylformamide,6.626578234730836,Formic Acid,6.988736525929984,,
2021-03-12T18_02_56.329616+00_00_HC_C5,1%1%1%1,3,2-Thiophenemethylammonium iodide,0.6064218411398535,Lead Diiodide,0.4575106578474385,Dimethylformamide,4.640355785654038,Formic Acid,14.04736041711927,,
2021-03-12T18_02_56.329616+00_00_HC_E5,1%1%1%1,1,2-Thiophenemethylammonium iodide,2.239827948632569,Lead Diiodide,0.3716199880982344,Dimethylformamide,7.688556202777064,Formic Acid,2.50539611306924,,
2021-03-12T18_02_56.329616+00_00_HC_G5,1%1%1%1,1,2-Thiophenemethylammonium iodide,0.324183086964598,Lead Diiodide,0.5724161650844785,Dimethylformamide,9.107450871392114,Formic Acid,5.59390478353095,,
2021-03-12T18_02_56.329616+00_00_HC_A7,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.9598692590567142,Lead Diiodide,0.32679332703388453,Dimethylformamide,9.279092467110084,Formic Acid,0.26504453617206153,,
2021-03-12T18_02_56.329616+00_00_HC_C7,1%1%1%1,3,2-Thiophenemethylammonium iodide,0.6288141842403256,Lead Diiodide,0.6442497018668016,Dimethylformamide,8.233011448795718,Formic Acid,6.22854660004345,,
2021-03-12T18_02_56.329616+00_00_HC_E7,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.4602125533450871,Lead Diiodide,0.009336952200968,Dimethylformamide,9.23686619934348,Formic Acid,2.6504453617206174,,
2021-03-12T18_02_56.329616+00_00_HC_G7,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.3726873915651236,Lead Diiodide,1.0083908377045585,Dimethylformamide,7.897217240850425,Formic Acid,3.7106235064088633,,
2021-03-12T18_02_56.329616+00_00_HC_A9,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.028948852362569,Lead Diiodide,0.7189453194745467,Dimethylformamide,8.73640102183975,Formic Acid,3.7106235064088637,,
2021-03-12T18_02_56.329616+00_00_HC_C9,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.6226955437820132,Lead Diiodide,0.6474871375545745,Dimethylformamide,6.856631487520949,Formic Acid,5.727092992662639,,
2021-03-12T18_02_56.329616+00_00_HC_E9,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.392977561492677,Lead Diiodide,0.6005677797607643,Dimethylformamide,7.600318703663354,Formic Acid,5.061151947004193,,
2021-03-12T18_02_56.329616+00_00_HC_G9,1%1%1%1,1,2-Thiophenemethylammonium iodide,1.8282415455369552,Lead Diiodide,0.5911839082020025,Dimethylformamide,8.653106962775489,Formic Acid,1.4650703004485817,,
2021-03-12T18_02_56.329616+00_00_HC_A11,1%1%1%1,4,2-Thiophenemethylammonium iodide,0.5091115069254685,Lead Diiodide,0.1027064742106495,Dimethylformamide,5.91646496866849,Formic Acid,12.4570932000869,,
2021-03-12T18_02_56.329616+00_00_HC_C11,1%1%1%1,1,2-Thiophenemethylammonium iodide,2.8774093217606724,Lead Diiodide,0.08403256980871301,Dimethylformamide,8.084953010664751,Formic Acid,0.13252226808603051,,
2021-03-12T18_02_56.329616+00_00_HC_E11,1%1%1%1,4,2-Thiophenemethylammonium iodide,1.0394544433938135,Lead Diiodide,0.18673904401936253,Dimethylformamide,4.132701738628219,Formic Acid,14.179882685205301,,
2021-03-12T18_02_56.329616+00_00_HC_G11,1%1%1%1,1,2-Thiophenemethylammonium iodide,0.24764418041586256,Lead Diiodide,0.40148894464162954,Dimethylformamide,12.058175043218641,Formic Acid,0.13252226808603051,,
2021-03-15T16_04_45.792121+00_00_HC_A1,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.5227583291628808,Lead Diiodide,0.3947883909821064,Gamma-Butyrolactone,4.9449408090935405,Formic Acid,9.92597067736008,,
2021-03-15T16_04_45.792121+00_00_HC_C1,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.1171078085256008,Lead Diiodide,1.0290311252637443,Gamma-Butyrolactone,9.583365999150518,Formic Acid,0.7421247012817728,,
2021-03-15T16_04_45.792121+00_00_HC_E1,1%1%1%1,1,4-Methoxy-Phenylammonium iodide,1.5880472582849472,Lead Diiodide,0.7165105612947553,Gamma-Butyrolactone,8.446741908168626,Formic Acid,1.9083206604388447,,
2021-03-15T16_04_45.792121+00_00_HC_G1,1%1%1%1,3,4-Methoxy-Phenylammonium iodide,1.094613042302882,Lead Diiodide,1.0561229755049584,Gamma-Butyrolactone,7.663849631364616,Formic Acid,4.683517908261331,,
2021-03-15T16_04_45.792121+00_00_HC_A3,1%1%1%1,1,4-Methoxy-Phenylammonium iodide,2.031624274495324,Lead Diiodide,0.2896532056297944,Gamma-Butyrolactone,5.858704568605406,Formic Acid,6.361068868129481,,
2021-03-15T16_04_45.792121+00_00_HC_C3,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.4666110372906875,Lead Diiodide,0.9680515030258928,Gamma-Butyrolactone,7.02073813267227,Formic Acid,4.77080165109711,,
2021-03-15T16_04_45.792121+00_00_HC_E3,1%1%1%1,3,4-Methoxy-Phenylammonium iodide,0.4380554648946896,Lead Diiodide,0.350632827867646,Gamma-Butyrolactone,9.987028140017527,Formic Acid,3.816641320877688,,
2021-03-15T16_04_45.792121+00_00_HC_G3,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.0481368146611456,Lead Diiodide,0.487836977902812,Gamma-Butyrolactone,6.282551604091409,Formic Acid,8.79947860091245,,
2021-03-15T16_04_45.792121+00_00_HC_A5,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.2951444598700932,Lead Diiodide,0.1753164139338228,Gamma-Butyrolactone,4.362002943273254,Formic Acid,12.404084292852486,,
2021-03-15T16_04_45.792121+00_00_HC_C5,1%1%1%1,1,4-Methoxy-Phenylammonium iodide,2.025966484343142,Lead Diiodide,0.9717868085713388,Gamma-Butyrolactone,7.031523948975229,Formic Acid,2.6398858184468303,,
2021-03-15T16_04_45.792121+00_00_HC_E5,1%1%1%1,4,4-Methoxy-Phenylammonium iodide,1.7567299344333027,Lead Diiodide,0.922316786347504,Gamma-Butyrolactone,6.790438835521802,Formic Acid,4.240712578752988,,
2021-03-15T16_04_45.792121+00_00_HC_G5,1%1%1%1,1,4-Methoxy-Phenylammonium iodide,1.1586350714652307,Lead Diiodide,0.0762245277973144,Gamma-Butyrolactone,8.5610786743985,Formic Acid,4.55876602215946,,
2021-03-15T16_04_45.792121+00_00_HC_A7,1%1%1%1,1,4-Methoxy-Phenylammonium iodide,2.411798099385723,Lead Diiodide,0.49545943068254317,Gamma-Butyrolactone,7.351003815038396,Formic Acid,1.4842494025635455,,
